country,location,metaweather_id,daily_max_temp,daily_min_temp,applicable_date,timestamp

UK,london,44418,18.8,3.6,2022-04-30,2022-04-30 18:21:44
UK,manchester,28218,16.9,2.9,2022-04-30,2022-04-30 18:21:44
UK,liverpool,26734,16.8,2.9,2022-04-30,2022-04-30 18:21:44
US,new york,2459115,19.6,5.4,2022-04-30,2022-04-30 18:21:44
US,san francisco,2487956,19.7,8.6,2022-04-30,2022-04-30 18:21:44
US,las vegas,2436704,32.2,12.5,2022-04-30,2022-04-30 18:21:44
FR,paris,615702,21.9,6.1,2022-04-30,2022-04-30 18:21:44
FR,marseille,610264,22.1,11.3,2022-04-30,2022-04-30 18:21:44
FR,lille,608105,19.2,4.2,2022-04-30,2022-04-30 18:21:44
FR,lyon,609125,22.9,4.8,2022-04-30,2022-04-30 18:21:44
US,manchester,2444674,17.6,3.1,2022-04-30,2022-04-30 18:23:14
